,remarks,label
2615,"Visit ke tmpt saudara ybs, saudara sampaikan bahwa ybs lagi di luar kota, akan di FU kembali setelah ybs kembali.",other family house
1489,"fam visit ke tempat kerja nya kost 
kost tidak ada
fam titip pesan ke satpam ",office
2181,"Bertemu konsumen di kost 
di arahkan pembayaran melalui alfamaert
selesai current",other rent house
1554,Visit ke kantor pemegang unit namun kantornya sepi tidak ada orang  by pone pemegang unit belum respon unit tidak terlihat Fu,office
2259,fam vsit d almt rmh ortu kons dan mngntrkn sp3 ttpi tdk ada yg kluar mnemui fam. fu phone suami kons saat ini msih mngmplkan dana angsuran dri hasil rental mobil. nmun unit tdk prnah trpantau d rmh kons d daerah sudiang,other family house
1868,visit ke konstan bertemu penjaga  yang ngekost sebagian masih belum pada pulang Fu by phone kons ga aktif,other rent house
653,sudah visit ke rumah ybsdan bayar lewat mbangking BCA ,house
1354,visit pelacakan ke tempat kerja konsumen di angkul angkul beach in Kuta . info pegawai konsuem baru resign pertgl 1juni kemarin . infonya mau mencari kerjaan lain. via tlp konsumen tidak ada merespon . pelacakan ,office
1458,visit ketempat kerja debitur ybs tdk ada dtmpat dan info sudah keluar by phone tdk pernah direspon unit tdk trlhat saat kunjungan,office
1867,visit kost??n kons. info dari pengawas kons kons pulang pagi diantar gojek. unit di kondisikan kons. akan dipantau lg,other rent house
336,Bayar Partial Sisanya akhir bulan,unknown
1283,visit cod an sama konsumen di warung daerah Pucangan sebab konsumen lagi di luardi usahakan bulan ini ,others
2176,bertemu dengan ybs di kost2annya ybs dana masih belum terkumpul diusahakan secepatnya ,other rent house
1807,R2/Visit ke alamat lain kons pindah alamat sudah terlacak alamat kontrakannya bertemu pasangan beam push pelunasan namun kapasitas bayar belum ada punya usaha konveksi rumahan bikin baju gamis saat ini sepi order akan diusahakan untuk bayar angs dulu.,other rent house
820,kons tidak ada dirumah ket keluarganya kons je morowali ada acara krluarga by phone tidaj di jawab titip pesan ke keluarga kons,house
1190,ketemuan dengan konsumen di indomart kaligoro bayar current ,others
2406,konsumen bayar current payment point Alfamidi ketika visit ke tempat mertuanya,other family house
2043,fu alamt kost sepi fu by phone kons blm ada respon akan Fu kembali,other rent house
2551,"Visit ke rumah ortu kons, tidak bertemu kons, info dari ortu kons sedang kerja. FU by phone masih belum ada respon, akan di visit kembali.",other family house
2360,"visit ke rumah kerabat konsumen, sudah bayar melalui Alfamart terdekat",other family house
2992,ketemu konsumen di tempat usaha konsumen usahakan dana di bulan ini press pembayaran di tgl 17 current.,business location
2740,visit ke toko bertemu anak ybs info ybs dri pgi sudah keluar by phon jb tgl 11 akan bayar sedang tunggu tagihan koperasi,business location
2546,"saat kunjungan ke rumah adik konsumen, sudah bayar current di Alfamart ",other family house
409,konsumen JB tgl 16 nunggu gajian dr sekolahan tempat kerjaan konsumen ,unknown
417,PU JB tnggal 26 mnunggu gajian Ram akan pastikan ,unknown
2696,"Hasil visit ke rmh tante kons, kons tdk di lokasi, hanya ada keluarganya yang blm bs ksh info pasti.",other family house
2366,"datang ke tempat keluarga debitur, debitur bayar di payment point Alfamidi",other family house
295,Note Bayar tgl 15 lagi dia bayar 1 bulan,unknown
951,visit ke alamat emergency bertemu ibu kons info kons tidak di rumah by phone kons responnya semaunya atau karakter kons tidak baik dan ibunya bersedia membayarnya namun harus menunggu bapaknya kons pulang kerja dulu. ,others
2735,visit ke tempat usaha bertemu kons. Kapasitas minim. Kons hanya andalkan tagihan piutang yg di bayar mencicil. Mengaku minta waktu tgl 25 an. Fam tolak push tgl 6 ybs tdk sanggupi. Edukasi soal denda dan partial bertahap tp ybs terkesan mengabaikan . Fam coba arahkan penjualan Unit bersama. tp menolak. Fu lg,business location
648,visit kerumah ketemu kons dan masih nunggu uang dari pemakai dana ,house
2871,visit ke tempat usaha konsumen. unit ada di parkiran. pembayaran angsuran tanggal 16.,business location
2963,kunjungan ketempat usaha konsumen tidak ada by phone belum respon kons janji bayar minggu depan.,business location
88,konsumen pindah alamat ke Maybrat fu by phone konsumen masih menunggu dana sementara planning perjalanan dinas ke Maybrat ,unknown
939,ram brtmu dgn istri ybs di jalan tabrani ahmad info nya msih mnunggu dana kiriman dri ybs saat ini masih di laut kerja kapal ikan dan bensin.,others
1124,bertemu dengan ybs di kantor notaris Gerung ybs sudah pindah alamat ke Mataram ybs tinggal di kos kosan di batu Dawe ybs konsumen karakter pembayaran masuk 2 bulan bayar 1 ybs bahasanya masih mengusahakan dana untuk melakukan pembayaran,others
685,Rumah dalam keadaan kosonginformasi warga dan rt setrmpay ybs sudah pindah.fu by phone belum respon..,house
377,visit bertemu keluarga kons info ybs sedang pergi FU by telpn blm respon PIC titip pesan dan amor next visit ulang,unknown
2941,visit dtempat usaha konsumen masih mengusahakan pembayaran dari usaha,business location
1484,"kost tidak ada di tempat kerja nya info nya kost lagi keluar rapat 
fam titip pesan ke satpam temoat kost kerja fam akan Fu lagi ",office
1128,ketemu kons di alamat lain di alfamidii super dan kons bayar partial. usahakan lagi bayar bulan ini. ,others
931,Visit bertemu dengan ybs di pom bensin pakansari alamat masih sesuai confins dan unit tidak terlihat. ybs meminta back up ormas pemuda pancasila kota bogor. bayar 1 bulan by edc,others
471,viait drmh kons yg baru bertemu kons dan ada JB tgl 15 unit tdk terlihat saat kunjungan,house
2516,konsumen melakukan pembayaran di Alfamart terdekat pas kunjungan ke rumah saudara,other family house
2312,visit ke tempat orangtua kons kons sudah pindah. by phone tidak ada respon,other family house
1058,ram lacak ke alamat BPKB (Asrama Brimob Ahmad Dahlan) bertemu dengan petugas yang lagi piket info petugas piket benar ortunya sebelumnya tugas disini tetapi sudah pindah tugas ke Polresta fu.,others
247,konsumen melakukan pembayaran hari ini via pp,unknown
228,follow up by wa akan di bayarkan tanggal 12,unknown
642,rumah sepi tidak ada orang. fu wa belum respon.,house
1986,kunjungan ke kos kons kons tidak ada namun unit masih ada,other rent house
2469,"rumah ortunya sudah dikunjungi, pembayaran via payment point Alfamart diselesaikan",other family house
1268,visit konsumen ngejak cod nan di pasar Kliwon konsumen mau setor barang dan konsumen janji bayar lewat pp nunggu tranferan dari temenya unit ada,others
1769,visit ke kantor konsumen  by phone tidak ada respon titip pesan ke ibu kantin  unit tidak terpantau akan di Fu kembali,office
2757,fam visit ke konsumen tidak ada di tempat usahanya konsumen fan akan Fu kembali,business location
1203,bertemu kons di indomaret karna kons baru pulang kerja supir jadi sekalian bertemu kons uangnya masih kurang janji bayar pasti tgl 31 Mei maksimal,others
844,R1-visit ke alamat rumah status konsumen tidak ada unit tidak ada raib belum diketahui alamat yg baru masih akan dilakukan pelacakan ke alamat tempat kerja/usaha,house
1555,vst konsmn dn brtemu dgn konsmn di kantor dn brtemu dn buat JB Krn msih mnunggu gaji yg blm dbyrkn ,office
2250,vst krmh jmp orang tua kons info kons lg di kebun untuk angsuran fam fus smpai jumat kalau tdk fan mntak unit di kembalikan ke bfi,other family house
1773,kons bayar 1 bulan di kantor fu kembali,office
3010,"Visit ke tempat usaha, kons bertemu ybs dan menunggu dana secepatnya.",business location
901,kunjungan ke amprak pasir tempat biasa anak kirim barang atau kirim batu dan pasir ketemu dengan anak info anak angsuran akan diselesaikan di minggu ini tunggu pembayaran atau transferan masuk dari PT,others
1188,ketemu kons di Indomaret Pattedong dan Kons bayar current via edc,others
2835,visit ke tempat usaha anak konsumen pemakai dana ,business location
839,visit ke alamat lagi ke rumah kosong telepon nggak respon akan di Fu kembali,house
1249,konsumen masih mengupayakan uang.. cod dekat kantor BFI ,others
1577,ketemu alamat kantor kons menyerahkan unit ditebus dengan jumlah 7.500.000,office
2225,"Visit ke kos2an kons, kons janji bayar minggu depan.",other rent house
759,ke rumah kons  rumah sudah di tempatin oleh orang lain  info tetangga kons sudah pindah kontrakan  fu by phone kons lagi usahain dana buat pembayaran dalam bulan ini  revisit ,house
2316,visit ke almt saudara gali info tentang kepemilikan unit info dr saudara nya itu bukan punyak nya dan tdk tau karena unit drmh hanya ada beat dan vega.,other family house
1917,konsumen tidak mau buka pintu kost,other rent house
2504,"waktu kunjungan rumah mertua, pembayaran partial via Alfamart telah diselesaikan",other family house
1744,kons dan pembeli datang ke kantor dan yg melunasi pembeli unit. pelunasan di angka 290jt,office
2282,visit di rumah ortuketemu dengan om konsumenkonsumen lagi di probolinggofu ulang ,other family house
461,di kunjungi alamat ktp daerah pekapuran A di rt 03 di tanya warga dan RT tidak ada kenal sama kons di hubungi kons lewat by phone tidak bisa unit atau nasabah raib.,house
1444,Visit ke alamat tempat kerja kons  bertemu perwakilan perusahaan konsumen  info kons sudah di pecat karena kasus sejak 2 tahun yang lalu  dan belum tau keberadaan kons sekarang kerja di mana dan sampai sekarang keberadaan kons belum di ketahui  fu by phone nomor tidak aktif  revisit ,office
13,sudah kunjungan n input tgl 5 bulan 7. di pdrce belum terbaca,unknown
2646,"Revisit ke rmh mertua kons, kons belum ada dana tambahan, mertua janji bantu usahakan pembayaran minggu ini.",other family house
1907,Riswan visit ke kost kons bertemu keluarga kons yg pelaku bayar pelaku bayar dana belum cukup masih carikan tambahan jb senin paling lambat,other rent house
1050,ram visit keasramanya ybs tdk ada ditkp sdg kawal komadannya,others
1891,fam visit alamat tagih kost2an fam Fu selow respon ,other rent house
3042,"Fam visit ke tempat usaha kons, tetapi kons sedang tidak ada info dari saudaranya, kons sedang sakit parah, konsumen jb tgl 18 akan bayar, konsumen masih mengusahakan dananya.",business location
1874,kunjungan ke alamat tagih fam interaksi dgn anak kost kons info nya kons sedang tugas di luar kota fam minta no hp kons tidak mau memberikan nya fam titip amortisasi ke anak kost kons visit sebelumnya fam interaksi dgn istri kons istri kons pun tidak memberikan informasi yg mumpuni cuma menginfokan kons tugas di luar kotafam tanya unit istri kons tidak mau memberikan informasi.,other rent house
2375,"berkunjung ke tempat mertua kons, berhasil melakukan pembayaran lewat Alfamart terdekat",other family house
2365,"ketemu di tempat mertua kons, berhasil bayar via Alfamart terdekat",other family house
784,"rumah sepi tetangga sepi tidak bertemu saat kunjungan
revisit.
lokasi smc tidak sesuai krna waktu kunjungan smc eror jdi bru di isi ulang.",house
1024,Visit ke alamat Gudang Kayu Kons bertemu dngn rekan kerja infokan kons sdng kirim kayu ke Soreang tipsen ke rekan perihal kedatangan dr BFI coba by phone namun blm tersambung Fu kembali ,others
521,visit asti Musa kons tdk Adi rmh via tlpn nmr aktif tdk angkat,house
2197,ram visit kealamat kost2 an kons msh tggu tagihan jb tgl 15 plan visit kembali,other rent house
1560,"Note : visit alamat kantor bertemu tomi sebagai karyawan queen express. Infokan bahwa kons sudah tidak bekerja lagi di tempat tersebut. Sudah keluar +- 1 tahunan. Rekan sudah tidak ada komunikasi dengan kons dan tidak tau pindah kerja kemana. 
Request Matel
Fu kembali",office
1517,kons kapasitas byr minim sekali. krn jualan sayur dgn penghasilan tdk pasti. unit di suruh mengembalikan ke kantor bfi tdk mau. setiap bayar pinjam sanq sini termasuk anak yg terkhir dan calon menantu,office
1417,visit 13 mei 2024visit kealamat kerja kons di PT Eraguna ram tanya pengolala pasar tidak ada yg tau dengan kons hub by phone kons belum ada respon  akan ram fu kembali,office
1929,"dapat info istri konsumen pernah jualan makanan disini tapi sekarang tmpt usaha sudah kosong
masih rayu2 konsumen buat ketemuan by telp",other rent house
2811,"bertemu konsumen di tempat usaha.
press pembayaran di tgl 17 current ",business location
2088,"kunjungan ke kontrakan tidak bertemu dengan konsumen konsumen di kalimantan dan unit tidak pernah lihat. 
komunikasi by phone konsumen ada janji bayar tgl 12 menunggu gajianya ",other rent house
2000,"bertemu ybs saat kunjungan ke almt kostnya kepastian bayar minim karna anak ybs sedang di rawa di ruma sakit
terkait lokasi smc berbeda karna smc eror jadi baru di isi ulang.",other rent house
2252,visit alamat orng tua ybs JB tanggal 18,other family house
203,bertmu ybs  ybs sudah bayar ,unknown
1856,ram visit kealamat kost2 an nya bertemu kons lgs jb tgl 29/03/24 menunggu gajian cair ram fu kembali.,other rent house
169,sk ekscoll visit dan nego pelunasan dgn ekscoll konsumen pemain,unknown
2058,cek tempat tinggal kons sdh beralih kontrakan baru,other rent house
994,visit ke alamat lain karna kons sdah pindah alamat ketemu keluarga sebelumnya sudah bayar di awal bulan kons Jb Pelunasan di akhir bulan in unit ada dan akan di fu kembali,others
2349,"visit ke alamat orangtua konsumen, konsumen bayar di minimarket Alfamidi",other family house
225,ybs sudah melakukan pembayaran sebesar 5.200.140 secara online,unknown
1820,visit ke tempat kos konsumen yg baru   kons ada tapi tdk respon panggilan Fam  unit tdk terlihat    fam  visit lagi,other rent house
2943,visit ke tempat usaha konsumen masih menunggu pencairan akan mengusahakan pembayaran di minggu ini,business location
1592,visit ke alamat kerja konsumen kantor dalam keadaan tutup info dari penjaga kantor kalau hari ini kantor libur konfirmasi lewat telepon masih belum respon,office
47,kons & keluarga sudah pindah via tlpn ybs pindah ke daerah ciputat & ybs bayar via pp,unknown
2425,"visit ke rumah ortunya, kons sudah transaksi via payment point Alfamart",other family house
827,konsumen dikunjungi di rumah orang tuanya tapi konsumen sudah di Morowaliinfo dari orang tuanya katanya debitur sudah jarang komunikasi dengan ibunya FAM sudah bicara dengan debitur tapi katanya belum gajian ,house
906,janji ketemuan sama orang tua konsumen di Pasar Serpong minta waktu minggu ini untuk pembayaran atau tarik unit secara kemampuan mampu unit info dipakai adiknya konsumen,others
439,konsumen sudah bayar via payment point,unknown
1369,kunj tmpat krja.ybs spv wom,office
348,kunjungan bertemu dengan istri custbkerja JB tgl 15 nunggu uang hasil kerja bangunan,unknown
1806,konsumen ngontrak rumah kontrakan kosong informasi dari tetangga yang bersangkutan sudah pindah dari 2 bulan yang lalu ke daerah perumahan alam maya legol lewang. Next visit ke alamat barunya fu ulang,other rent house
2748,fam visit ketempat usah konsumen janji bayar di tgl  w8 bengkel motor,business location
3113,"Visit ke alamat usaha kons untuk fu, kons masih mencukupi kekurangan pembayaran, diusahakan JB maksimal tanggal 20 katanya",business location
868,rumah sepi,house
1082,visit kealamat lain inputan visit manual karena aplikasi error konsumen masi usahakan dana untuk pembayaran angsuran berikutnya,others
2160,fam visit ketemu pasangan di kontrakan dan kons masih masih mengushakan dana fam akan visit kembali,other rent house
2466,"rumah mertua konsumen dikunjungi, bayar current via Alfamidi telah dilakukan",other family house
2827,kunjungan ketempat usaha tunggu uang pembayaran konveksi,business location
2145,sudah di titik alamat kontrakan namun kontrakan debitur belum ketemu dan masih dakam. proses pelacakan,other rent house
1394,Visit kealamat kerja konsumen bertemu pasangan unit masih dikuasai tertagih current,office
49,kons kades unit dikuasai anak anggota tni by phone jb kamis ,unknown
1997,"Kunjungan ulang ke kos kons, dana masih kurang, kons jb minggu depan setelah dapet uang.",other rent house
1635, visit ke kantor tempat usaha kons tutup ram hubungi bagian keuangan kons yg biasa bayar angsuran nya jb sore ini..,office
1846,visit ke almt baru jl sentanu III no. 6 info pemilik kost 082147009812 bahwa kons sdh pindah dan hanya kost 1 bln saja dihub tdk direspon share matel,other rent house
43,andi sumiati pelunasan via edc,unknown
420,bertmu ybs  ybs blum ada dana  ybs masih mencari dana,unknown
21,"R1
konsumen tidak ada di tempat by tlpn konsumen tidak ad respon",unknown
2213,"Fam revisit ke kos konsumen, konsumen jb dalam waktu dekat.",other rent house
1611,pemegng unit sudah bayar partial di kantor via edc,office
415,ketemu keluarga konsumen . Ket konsumen sedang kerja ram revisit,unknown
362,Dalam Pelacakn Unit PT.RAP,unknown
2840,visit ketempat usaha konsumen infonya disbya by phone blm respon ,business location
2379,tagihan sudah bayar oleh konsumen di rumah mertua melalui Alfamart terdekat,other family house
2372,"kunjungan ke tempat anak debitur, debitur bayar di Alfamart tedekat",other family house
2468,"rumah kerabat konsumen telah di visit, pembayaran current di Alfamart diselesaikan",other family house
2593,"Visit ke tmpt mertua kons, mertua bilang kons sedang kerja, kons jb akhir bulan via telp. fu lg",other family house
1948,visit ke alamat kost kons tidak berada di rumah. fu by phone kons JB tgl 22,other rent house
421,ybs sudah membayarkan angsuran,unknown
58,bertemu ayah konsumen konsumen melalui telpon tidak kooperatif tidak bisa diarahkan ,unknown
1670,visit di tempat kerja pasangan ketemu pasangan trkait angsuran jadi tanggung jawab kons pasngan tidak mau ambil dokumentasi di dlam kantor alasan di larang atasan?? unit dikuasai kons dan akan di fu kembali,office
1,visit brtemu konsumen jb tgl 11 unit tdk terlihat fu,unknown
947,VISIT KE ALAMAT PIHAK KE 3 SELAKU PEMILIK UNIT TIDAK BERTEMU DEBITUR SUDAH LAMA TIDAK PERNAH PUKANG KERUMAH KARENA TERBELIT HUTANG FU NOMOR TIDAK AKTIF. UNIT DIKUASAI PIHAK KE 3.,others
218,Ktemu istri kons info kons jb minggu Depan mnunggu gaji istrinya akan d Fu kmbali,unknown
3036,"Kons tidak ada di tempat usaha. Di follow up by phone, masih usahakan dana.",business location
3149,fam visit ke kost2an konsumen dan konsumen fam arah kan pembayaran via Alfamart,other rent house
339,visit konsumen tidak ketemu info tetangga pindah kerja di Sangatta tlpn tidak angkat ,unknown
74,R1-konsumen dan pasangan raib sudah pindah alamat status hanya kontrak ybs pindah ke daerah karang tengah,unknown
993,fam visit ke tempat parkir Kon Kon sedang tidur dak panggil Kon TDK bangun  fam akan visit kembali,others
2874,dikunjungi di alamat usaha konsumen dan konsumen sendiri tidak di tempat tempat usahanya tutup dan Fu by phone konsumen no respon sama sekali Konsumen tidak kooperatif akan dikunjungi di alamat konsumen di dkh selanjutnya,business location
2417,"datang ke tempat kerabat kons, bayar lewat payment point Alfamidi",other family house
2313,di kunjungi di alamat lain saudara konsumen tidak ada di tempat dan akan di follow up by phone dan di visit kembali,other family house
971,VISIT ALAMT BARU TIDAK ADA ORANG FU TLP KONS TIDAK RESPON AKAN DI VISIT KEMBALI,others
1196,ketemuan dgn ybs di indomaret.. ada jb.. ,others
379,konsumen sudah pembayaran payment point,unknown
1691,kunjungi alamat kantor kons pic tidak diberikan akses utk naik ke lantai 3 ke kantor kons dan pic minta receptionis utk hubungi ke atas infonya kons sdg diluar kantor saat ini dan kons benar masih bekerja disini dikantornya pic fu kons ybs tdk kopratif mau bayar semaunya pic pres unit info unit di tegal dibawa org tuanya dan blm tahu kapan pulangnya pic tanya alamat terbaru kons tdk berikan.,office
2605,"Visit ke tmpt saudara kons, bilang kons info akan bayar akhir bulan, tunggu dana terkumpul.",other family house
257,sore ini sdh byr 1 dn besok byr lg pas tgl 10 ybs sdh pindah alamt pindah kebumen,unknown
545,vsit ke almt tagging sesuai confins tdk ktmu.vsit ke almt sesuai KTP jg blm ktmu tanya wrga sesuai almt di confins namun tdk ada yg kenal BEAM Masi lacak dan tnya dg RAM.calk aktif tdk respon.akn di Fu lg.baru dpt terinput dikrnakan sistem eror eror,house
3136,"Visit ke kios sayur, tidak bertemu dengan konsumen, revisit",business location
2660,"visit rmh ibu kons, info kons JB hari Selasa 
fam Fu lagi ",other family house
1732,konsumen saya kunjungi ke kantor notarisnya.,office
1642,Visit alamat kantor kons . Kantor kons tutup kemungkinan krn sdh libur fam fu by phone kons belum ada responnya . Fam akan visit dan fu terus kons .,office
2514,"saat kunjungan ke alamat saudara konsumen, pembayarn current di Alfamart dilakukan konsumen",other family house
2742,visit ke tempat usaha konsumen pasar Angso duo belum ketemu by phone jb tgl 6,business location
2168,fu kost ybs ybs sedang kena musibah ram akan visit kembali Untuk memastikan pembayaran nya,other rent house
1293,cod di Indomaret dengan pemakaian dana collector fif konsumen pengajuan pelunasan dengan diskon.,others
2879,visit di alamat usahanya tapi tidak masuk kantorby phone konsumen janji pelunasan tgl 12/08/2024 divisit kembali,business location
2839,visit di alamt usaha debitur jb tgl 25 tunggu dana terkumpul debitur kerja sebagai wanota penghibur fu.,business location
1803,R2 melakukan pelacakan ke alamat si pemegang dan pemakai dana di daerah kp Pulo timaha RT 10/RW 07 Babelan kota ketemu alamatnya kontrakan yg dimaksud tetapi si imam yg pakai unit dan motor sudah tidak ada tinggal dialamat tersebut lagi dan info tetangganya sudah pindah via telpon juga ybs respon tidak mau kasih tau alamatnya sekarang dan sudah tidak mau bayar lagi katanya karena unitnya ditarik,other rent house
2247,"Hasil visit kos kons, ketemu dengan pasangan, SP3 diterima dan ditandatangani, dapat janji bayar, pasangan kons masih nunggu dana dari ipar, fam akan revisi.",other rent house
975,visit ke qlqmat lain fu byphone dana minim revisit.,others
3130,"Visit ke kios, meet kons namun info dana belum cukup, akan di revisit kembali.",business location
90,Maaf baru upload kendala jaringan baru dapat jaring bagus kendala bayar belum cukup dana sementara tunggu gajinya paling lambat tgl 13 dia bayar akan di fu kembali,unknown
130,konsumen ada JB tgl 12 unit terpantau selanjutnya akan di Fu kembali ,unknown
1044,Visit ke Asrama TNI tidak ada akses masuk fu by phone respon ybs sedang di sumatra barat Padang orangtua ybs meninggal dan angsuran akan di upayakan dalam minggu ini Jb tgl 15 ,others
527,visit di alamat ketemu dengan kons janji bayar sore ini unit terpantau ,house
2399,transaksi sudah dilakukan kons di Alfamart 1 angsuran pas kunjungan ke rumah anak kons,other family house
17,visit kons bertemu keluarga kons unit ada sm kons call jb tanggal 13 juli 2024 kons masih menunggu dana dr orang bayar hutang akan di Fu kembali.,unknown
2965,visit ketempat usaha konsumen tidak ada by phone blm respon konsumen mengusahakan dana.,business location
2801,visit ke alamat usaha bertemu ybsybs masih menunggu dana daei hasil rongsok dan bengkel d usaha secepatnya akan masuk angsuran,business location
1741,bertemu konsumen di kantor. konsumen ingin mengajukan pelunasan. dan negosiasi pengurangan denda. konsumen mengajukan pelunasan 19.500.000 juta. ,office
1993,visit ke kostnya dan konsumen sudah bayar current alfa,other rent house
596,konsumen tidak sedang di rumah Fu by phone tidak ada respon fc tinggalkan Amor dan juga sp di pintu konsumen,house
589,interaksi dengan orang rumah info kons di manado tlpn nda respon akan di fu kembali,house
299,visit asnawai arsan kons JB tgl 13. menunggu hasil dana dari kopra,unknown
1984,visit alamat kontrakan ybs ybs minta waktu dan JB tgl 18,other rent house
2373,"ketemu di rumah keluarga konsumen, sudah melakukan pembayaran via payment point Alfamidi",other family house
539,rmh ksg.by phon tdk respon.taging tdk sesuai.sdh refresh masih sama ,house
2475,"visit konsumen di alamat kerabatnya, pembayaran via Alfamidi sudah dilakukan",other family house
1267,visit konsumen dan konsumen ngejak cod nan di sorum Suzuki konsumen mau serviske mobile dan konsumen janji bayar lewat pp konsumen ununggu gajian dari dia kerja unit ada,others
214,konsumen mencari kekurangan dana ,unknown
2174,visit kost ketemu namun kons belum dapat uang untuk pembayaran angsuran saat ini namun kons bilang kalau cocok pelunasan nya kons akan melunasi dan fam push untuk pembayaran angsuran saat ini sampai tanggal 19,other rent house
722,visit ke rumah bertemu kons/pasangan. Tdk mau berikan janji pasti alasan akan mengabari kalau sdh ada. Kendala keuangan kons dan usahanya lg terganggu. Fam push tgl 13. Unit tdk terlihat,house
280,hanya.ketemu pasangam.  selanjutnya fam hub ke.pemegang unit yg berada di tilamuta. ana pak iwan jn tgl 15/07/24,unknown
3110,"Konsumen pindah, visit ke alamat usaha kons dan masih diupayakan untuk JB maksimal tgl 20, akan dilakukan kunjungan lagi",business location
155,debitur bayar current,unknown
1680,visit ditempat kerja. tanya teman kantor katanya konsumen sudah keluar lapang. fu by telfon kons tidak bertemu konsumen tidak di reapon,office
2654,kunjungan alamat ipar ybs infonya masih mengusahakan dana untuk pembayaran,other family house
1061,ketemu di alamat lainkonsumen akan usaha kan secepatnya ,others
675,di rumah tidak ada orang. cek link tidak tahu ke mana tidak lihat dari pagi. by phone belum ada respon,house
1115,visit di alamat dekat kantornya ketemu debiturtapi tidak ada uang tunainya jadi saya arahkan bayar lewat payment point,others
1139,visit alamat lain karena ybs bayar partial di Alfamart unit ybs di gadaikan sebagai jaminan pinjaman hutang pribadi nya .,others
1483,visit ketempat kerja.  tidak ketemu namun sudah ada JB dan unit pindah tangan,office
161,bertemu suami ket nunggubpk gajian revisit,unknown
2107,vsit ke kost blm ada dana msh cari kekurangan,other rent house
1538,ketemu konsumen  konsumen siang ini mau ke kantor mau ngurus pelunasan,office
2,"visit namun tdk bertemu dgn kons
by phone kons respon akan pelunasan bulan ini",unknown
2362,"bertemu di tempat anak konsumen, konsumen bayar di Alfamart terdekat",other family house
1624,visit karyawan kons ke kantor bayar current,office
2450,"kunjungan ke alamat saudara konsumen, bayar via payment point Alfamart",other family house
2267,visit ke alamat pacarnya rumah tutup tanya tetangga masih keluar tdk tau kemana. visit ulang,other family house
413,debt sedang keluar  via phone ybs no respon coba revisit sore,unknown
2953,visit ketempat usaha keterangan usaha baru saja mulai bangkit jb tunggu uang transferan,business location
